# id|name|slot|value|gold|xp|flags|requirements|rewards|accept_requirements
45|Trobble Bath|1|5|100|100|U|330:10:1:Slick Slime Jar||
46|Home Sick|1|6|100|100|U|331:1:1:Musty Robes||
47|Golden Shrooms|3|1|0|0||353:10:1:Golden Mushroom||
48|Blue Feathers|3|2|100|100||354:5:1:Trobble Feathers||
49|Flying Tails|3|3|100|100||355:5:1:Leather Wing Tail||
50|Mixing Pot|3|4|20|15||356:1:1:Cauldron||
51|Hungry for a Recipe|3|5|100|100||358:6:1:Fishman Tail|357:1:1:Elixir Recipe|
52|Missing Ingredient|3|6|100|100||359:2:1:Petal||
53|Delicious Ingredient|3|7|250|250|U|360:3:1:Spores||
54|Recipe Needed|3|5|100|100||357:1:1:Elixir Recipe||
57|Growing Plants|-1|0|100|100||372:5:1:Fertilizer||
58|Storage Speyeders|4|5|100|100||373:5:1:Speyeder Eyes|341:1:1:Southwick Info|
59|Can you do it?|4|2|100|100||80:5:1:Mosquito Wing,431:5:1:Frogdrake's Feet|339:1:1:Church Seal|
60|Something in the Water|-1|0|100|100||380:10:1:Lurker Glands||
61|Hair, Tooth and Bone|-1|0|100|100||384:1:1:Finger Bone,382:1:1:Witch Hair,383:1:1:Berserker tooth||
62|Ruined Plans|-1|0|200|200||385:1:1:Thrax's treasure Map||
63|Bait and Switch|261|1|100|100||386:15:1:Fishman Scales||
64|Restocking|261|2|100|100||387:10:1:Live Fish||
65|Spear Sabotage|261|3|100|100||388:5:1:Broken Spears||
66|Retaliation|261|4|200|200||401:1:1:Kuro's Tentacle||
67|Camping Out|-1|0|100|100||311:8:1:Lumber||
71|Unreadable Map|-1|0|100|100|U|406:1:1:Map Decoder||
72|Fishing Bait|261|5|100|100|U|411:3:1:Kuro's Tail||
73|Darkness Rising|-1|0|500|500|U|414:1:1:Darkness Elemental Essence||
74|Flood of Power|261|6|500|500|U|415:1:1:Water Elemental Essence||
75|Ancient Trainee|-1|0|100|100||416:3:1:Horc Leader's Flag||
76|Ancient Endurance|-1|0|100|100||417:8:1:Zardman Spear||
77|Ancient Path of the Warrior|-1|0|200|200||418:1:1:Ironhide's Helmet||
78|Ancient Mix it Up!|-1|0|100|100||419:2:1:Marsh Lurker's Eye||
79|Ancient Shadow Skills|-1|0|100|100||420:6:1:Shadow Fossils||
80|Ancient Evade and Counterstrike!|-1|0|200|200||421:1:1:Wisteria Tentacle||
81|Ancient Essential Magics |-1|0|100|100||354:1:1:Trobble Feathers,355:2:1:Leather Wing Tail||
82|Ancient Glimpse of the Dark Side|-1|0|100|100||382:1:1:Witch Hair,383:1:1:Berserker tooth||
83|Ancient Undead Energy|-1|0|200|200||424:2:1:Undead Un-Life Force,423:1:1:Jack Sprat's Un-Life Force||
84|Ancient Healer Knowledge|-1|0|100|100||425:1:1:Slime Goo,426:1:1:Scarecrow Hay||
85|Ancient White Wizard|-1|0|100|100||428:1:1:Purple Gem,427:1:1:Ferocious Wood||
86|Ancient Protection|-1|0|200|200||177:6:1:Snail Shells||
90|Ninja Grudge|10|1|200|200||435:5:1:Pirate Pegleg||
91|Without a Trace|10|2|200|200||42651:2:1:Kittarian's Wallet,42652:2:1:River Fishman's Wallet,42653:2:1:Slime-Soaked Wallet,42654:2:1:Frogzard's Lint Hoard,42655:1:1:Big Bad Boar's Wallet||
92|Hit Job|10|3|400|400||42649:1:1:Breken the Vile's Sword,42650:1:1:Ogug Stoneaxe's Helmet||
93|Chilling Costume|13|3|150|150||459:10:1:Ghost Fabric||
94|Candy Basket|13|4|150|150||460:6:1:Pumpkin Heads||
95|Candy Craze|13|1|200|200||454:20:1:Candy||
96|Chocolate Goodness|13|2|200|200||461:5:1:Chocolate||
97|Lollipop Potion|13|5|250|250||462:8:1:Lollipop||
98|Mystery Candy|13|6|300|300||463:3:1:Mystery Candy||
99|Can't have enough|13|7|600|600||463:5:1:Mystery Candy||
100|Stone Endurance|12|1|100|100||494:10:1:Rock Essence||
101|Heart of Stone|12|2|150|150||498:1:1:Rock Bracelet||
102|Fire Endurance|12|3|110|110||496:15:1:Fire Essence||
103|Burning Heart|12|4|160|160|U|499:1:1:Fire Bracelet||
104|Water Endurance|12|5|130|130|U|495:25:1:Water Essence||
105|Liquid Soul|12|6|170|170|U|500:1:1:Water Bracelet||
106|Dark Endurance|12|7|140|140|U|497:40:1:Dark Essence||
107|Heart of Darkness|12|8|200|200|U|501:1:1:Dark Bracelet||
109|Dragonbane|-1|0|100|100||548:10:1:Draconic Ore||
110|Dragon Scales|-1|0|100|100||546:5:1:Dragon Scale||
111|Dragon Souvenirs|-1|0|100|100||547:3:1:Dragon Trophy||
112|Dragonslayer|-1|0|200|200|U|545:1:1:Dragon Heart||
113|Ancient Warrior Spirit|-1|0|200|200||494:10:1:Rock Essence||
114|Ancient Mage Essence|-1|0|200|200||496:5:1:Fire Essence,494:5:1:Rock Essence||
115|Ancient Shadow Hour|-1|0|200|200||496:10:1:Fire Essence||
116|Ancient Light Ways|-1|0|200|200||496:5:1:Fire Essence,494:5:1:Rock Essence||
117|Fighting Exercise|5|1|10|10||224:1:1:Piece of cloth||
118|Tougher Monsters|5|2|20|20||227:1:1:Horc Trainer Horns||
120|Bejeweled Blade|-1|0|100|100||592:1:1:Yellow Jewel,587:1:1:Red Jewel,588:1:1:Blue Jewel,589:1:1:Green Jewel,590:1:1:Clear Jewel,591:1:1:Purple Jewel|593:1:0:Bejeweled Blade|
121|Warrior Claymore Blade Enchant|-1|0|100|100||12:1:0:Warrior Claymore Blade|4668:1:0:Tainted Claymore|
122|Quadrolithium|-1|0|50|50||602:8:1:Quadrolithium|609:1:0:Oculation Helm|
123|Dam Balloons|-1|0|100|100||603:4:1:Dam balloons|615:1:0:Battery Cell Pack|
124|Bumper Bolts|-1|0|50|150||604:6:1:Bumper Bolts|612:1:0:Spybot|
125|Mithril Man Batteries|-1|0|150|150||605:2:1:Mithril Man battery|614:1:0:Piston-Driven Polearm|
126|ProtoSartorium Parts|-1|0|500|500||611:5:1:ProtoSartorium Parts|610:1:0:Rustbucket|
129|Food Fighter Badge Quest|-1|0|0|0||||
130|Scout the Cornycopia|14|1|0|0||658:1:1:Ingredients List||
131|Unboiling Water|14|2|0|0||667:1:1:Unboiled Water||
132|The Corn has Ears|14|3|150|150||621:1:1:Pop Rock Corn||
133|An Apple a Day|14|4|200|200||622:1:1:Wormscestershire sauce||
134|Whine n' Cheese|14|5|250|250||623:1:1:Cheese n' Whine||
135|Fruit of the Loot|14|6|100|100||669:1:1:Turrrr... Key,661:1:1:Seeds||
136|The Turdraken|14|7|500|500||624:1:1:Turdraken Giblets||
139|Pain-Apple!|14|8|200|200|U|634:5:1:Applesauce||
140|Squishy Squash!|14|9|200|200|U|635:5:1:Gourd Soup||
141|Ice Cream!|14|10|200|200|U|636:5:1:Strawberry IceCream||
142|Ring of Pain!|14|11|200|200|U|633:5:1:Pineapple Rings||
143|Cholesterious |14|12|200|200|U|670:1:1:PiePlate||
144|Murry's Revenge|15|1|150|150||691:8:1:Guard's Pauldron||
145|Crusaders Schmusaders|15|2|100|200||689:4:1:Crusader's Gauntlet||
146|Bad Captains|15|3|200|100||690:2:1:Captain's Insignia||
147|Which Witch is Which?|15|4|50|250||692:7:1:Witch's Gratitude||
148|Murry's Hunch|15|5|200|100||693:10:1:Mana Vacuum||
149|Magic Overload!|15|6|200|100||694:5:1:Mana Amplifier|698:1:0:Wizard's Staff|
152|Turn Frost Dragon into Dracolich!|-1|0|0|0||705:1:0:Armored Baby Frost Dragon 08|595:1:0:Dracolich Baby Dragon|
153|Turn Dracolich into Dragon!|-1|0|0|0||595:1:0:Dracolich Baby Dragon||
154|Piercing Arrows!|-1|0|200|200|U|721:5:1:Frosty Metal|32573:1:0:Frost Guard|
155|Rescue Blizzy|17|1|100|100||731:1:1:Blizzy||
156|Scary Snow Men|17|2|50|50||732:2:1:Scarf||
157|Moglin Popsicles|17|3|150|150||733:8:1:Moglin||
158|Crystal Spider|17|4|200|200||734:6:1:Ice Spider Legs||
159|Fluffy Bears|17|5|250|250||735:3:1:Bear Fur Patch||
160|Blue Eyed Beast|17|6|300|300||736:1:1:Frost Dragon Scale|32678:1:0:Adorable Antlers,32679:1:0:Elite Shadow Guard|
161|Trouble Makers|17|7|350|350||737:8:1:Sneevil Tool||
162|Bad Ice Cream |17|8|400|400||738:5:1:Top Hat||
163|Greedy Sneevil|17|9|500|500||739:1:1:Sneezer's Wand||
164|Shadow Figure|17|10|600|600||740:1:1:FrostScythe's Scroll|32680:1:0:Bom Velhinho Blade|
165|Dragonslayer Veteran|18|1|100|100||766:8:1:Dragonslayer Veteran Medal||
166|Dragonslayer Sergeant|18|2|150|150||767:8:1:Dragonslayer Sergeant Medal||
167|Dragonslayer Captain|18|3|200|200||768:8:1:Dragonslayer Captain Medal||
168|Dragonslayer Marshal|18|4|250|250||769:8:1:Dragonslayer Marshal Medal||
169|Dragonslayer Reward|18|5|500|500||772:12:1:Wisp of Dragonspirit||
170|Turn Red Dragon into Dracolich|-1|0|0|0|U|211:1:0:Baby Red Dragon|595:1:0:Dracolich Baby Dragon|
171|Turn Dracolich into Red Dragon|-1|0|0|0|U|595:1:0:Dracolich Baby Dragon|211:1:0:Baby Red Dragon|
172|Jars of Slime|19|1|50|50||807:8:1:Jar of Slime||
173|Sneevil Boxes|19|2|100|100||808:4:1:Sneevil Boxes||
174|Behind the bush?|19|3|0|0|O|809:1:1:Bush Investigated||
175|Defeat Dogear|19|4|200|200||810:1:1:The Book of Lore||
176|Undead Assault|20|2|100|100||828:10:1:Slain Skeletal Soldier||
177|Skull Crusher Mountain|20|3|200|200||829:8:1:Frozen Bonehead||
178|The Undead Giant|20|4|300|300||830:1:1:Undead Giant's Sword||
179|Talk to the Knights|20|5|0|0|O|831:5:1:Knights Talked to||
180|Defend the Throne Room|20|6|200|200||832:12:1:Skeleton Skulls||
181|Summoning Complete|15|7|500|500||841:1:1:Belrot's Head||
182|Grand Inquisitor's Penance|15|8|500|500||860:1:1:Ring of Evil Intent||
183|Enter the Gates|20|1|40|100||869:4:1:Defeated Fire Mage||
187|Fire Gem|-1|0|100|50||876:1:1:Fire Gem|868:1:0:Burn it Down|
195|ShadowFall Quest1|43|1|0|0|O|||
196|Recover Sepulchure's Armor|43|2|200|200||900:1:1:Sepulchures Remains||
198|Slimes on a bridge|-1|0|50|50||425:5:1:Slime Goo,935:1:1:Royal Purple Jelly||
199|Pirate Hat|-1|0|50|50||948:5:1:Cursed Doubloon|255:1:0:Pirate Hat 1|
200|Pirate Cutlass|-1|0|50|50||948:15:1:Cursed Doubloon|964:1:0:Undead Pirate's Cutlass|
201|Undead Pirate's Guitar|-1|0|50|50||948:25:1:Cursed Doubloon|956:1:0:Undead Pirate Guitar|
203|Holy Scuba Gear|-1|0|50|50||948:35:1:Cursed Doubloon|963:1:0:Holy Scuba Gear|
204|Deep Diver Helmet|-1|0|50|50||948:20:1:Cursed Doubloon|962:1:0:Deep Diver Helmet|
205|Braken Bass|-1|0|50|50||948:25:1:Cursed Doubloon|957:1:0:Braken Bass|
206|Ghost Ship in a Bottle|-1|0|50|50||948:15:1:Cursed Doubloon|955:1:0:Ghost Ship in a Bottle|
207|Trident of Storms|-1|0|50|50||948:40:1:Cursed Doubloon|965:1:0:Trident of Storms|
208|Fishy Guitar|-1|0|50|50||948:25:1:Cursed Doubloon|958:1:0:Fishy Guitar|
209|Fishbone Head|-1|0|50|50||948:20:1:Cursed Doubloon|961:1:0:Fishbone Head|
211|Rainbow Rats|-1|0|75|75||976:10:1:Rainbow Pellets||
212|Monochrome|-1|0|75|75||983:1:1:Grey Meter|978:1:1:A.R.C key|
213|Destroy the A.R.C|-1|0|50|50||980:1:1:Lazar Beem|34250:1:0:Lucky Sword|
214|Frost that Lucky Harms!|-1|0|100|100||977:1:1:Lucky Harms' Hat|34251:1:0:Leprechaun Hat|
215|Pot of Gold!|-1|0|0|0||981:1:1:The Golden Pot|34253:1:0:Leprechaun Armor|
216|The Shoe's News|-1|0|50|50||984:1:1:Measuring Tape,985:1:1:Sneevilchaun's Awl,986:1:1:Sneevilchaun's Hammer,987:1:1:Shoeing Tacks|988:1:1:Bag-ometer|
217|A Shoemaker's Work is Never Done|-1|0|75|75||992:1:1:Shoemaker's Bag,988:1:1:Bag-ometer,989:1:1:Sole Knife,990:1:1:Stretching Pliers,991:1:1:Burnishing Cloth|995:1:1:Sneevilchaun's Gold Piece,34252:1:0:Sneevilchaun|
219|The Sabbatia|-1|0|50|50||1000:20:1:Sabbatia||
220|Grasses|-1|0|200|200||1002:20:1:Marsh Grass||
221|The Spiders have changed... |-1|0|75|75||1003:15:1:Affected Spider||
223|Things that go Bump in the Night|-1|0|75|75||1004:1:1:Monster Description||
224|Defend Town|-1|0|10|50||1024:5:1:Defender's Medal||
225|Mega Defenders Medal|-1|0|12|55||1026:1:1:Mega Defender's Medal||
227|Stinging Dagger of Serpents|-1|0|0|0|U|1054:1:1:War Prize!|1036:1:0:Stinging Dagger of Serpents|
228|Royal Blade of Thorns|-1|0|0|0|U|1054:1:1:War Prize!|1037:1:0:Royal Blade of Thorns|
229|Staff of the Burning Abyss|-1|0|0|0|U|1054:1:1:War Prize!|1017:1:0:Staff of the Burning Abyss|
230|Egg Hunt - Vorpal Bunny|-1|0|0|0|U|1042:1:1:Complete Set of Eggs,8702:1:1:Tuft of Grenwog Fur|34408:1:0:Vorpal Bunny|
231|Egg Hunt - Backpack|-1|0|0|0||1042:1:1:Complete Set of Eggs,8702:1:1:Tuft of Grenwog Fur|34407:1:0:Backpack of Eggs|
232|Dagger of Serpents!|-1|0|0|0||1054:1:1:War Prize!|1055:1:0:Dagger of Serpents|
233|Blade of Thorns|-1|0|0|0||1054:1:1:War Prize!|1056:1:0:Blade of Thorns|
234|Berzerker Bunny Helm - Wooden Egg|-1|0|0|0||1049:1:1:Wooden Egg|34415:1:0:Transforming Berzerker Bunny Helm|
235|Transforming Bunny Spear - Egg Shell |-1|0|0|0||1050:1:1:Egg Shell|34416:1:0:Transforming Berzerker Bunny Spear|
236|Bunny Berzerker Armor - Were Egg|-1|0|0|0||1051:1:1:Were Egg|34417:1:0:Berserker Bunny|
237|Bunny on your Back - Quacked Egg|-1|0|0|0||1062:1:1:Quacked Egg|34418:1:0:Bunny on your Back|
238|Monday... Bone Mace!|-1|0|0|10||1089:1:1:Rare Unidentified Mace|1092:1:0:Bone Mace|
239|Tuesday... Broom of Doom!|-1|0|0|0||1103:1:1:Rare Unidentified Broom|1095:1:0:Broom of Doom|
240|Wednesday... Faerie Sai!|-1|0|0|0||1102:1:1:Rare Unidentified Sai|1096:1:0:Faerie Sai|
241|Thursday... Speargun!|-1|0|0|0||1104:1:1:Rare Unidentified Weapon|1097:1:0:Speargun|
242|Friday... Liquid Hot Magma Axe!|-1|0|0|0||1099:1:1:Rare Unidentified Axe|1086:1:0:Liquid Hot Magma Axe|
243|Saturday... Chakram Dagger!|-1|0|0|0||1101:1:1:Rare Unidentified Dagger|1094:1:0:Chakram|
244|Sunday... Sludge Sword!|-1|0|0|0||1098:1:1:Rare Unidentified Sword|1093:1:0:Sludge Sword|
245|Winged Spies|21|1|100|100||1105:5:1:Eyeball Wings||
246|Chaos Prisoners|21|2|0|0||1119:5:1:Mobius Survivor||
247|IMP-possible Task|21|3|150|150||1106:5:1:Imp Tooth||
248|Far Sighted|21|5|200|200||1107:5:1:Cyclops Contact Lenses||
249|Slugfest|21|6|0|0||1108:1:1:Slugfit Scalp||
250|Chain Reaction|21|7|250|250||1109:8:1:Sneevil Chainsaw||
251|Epic Drops|21|8|0|0||1110:7:1:Dew Drop||
252|Jarring Theft|21|9|300|300||1111:1:1:Healing Jar||
253|DO LATER____Don't leave a faerie behind|21|10|0|0||1112:7:1:Healed Faerie||
254|DO LATER____Let them walk|21|10|0|0||1113:7:1:Faerie Wings||
255|Tree Hugger|21|10|400|400||1114:1:1:Warlord's Beard||
256|The Second Piece|21|11|400|400||1115:1:1:Runed Relic||
257|Ruined Ruins|21|12|450|450||1116:8:1:Gargoyle Chips||
258|Blueish Glow|21|14|450|450||1117:10:1:Blue Gems||
259|Arm Yourself|21|16|500|500||1118:1:1:Golem Arm||
260|You Can't Miss It!|21|4|0|0||1124:1:1:Tower Info||
261|Energize!|21|13|0|0||1125:1:1:Teleport Info||
262|Quickdraw|21|15|0|0||1126:1:1:Golem Sketch||
263|You've Been Framed|21|17|0|0||1129:1:1:History Book||
264|Disguise!|21|20|0|0||1140:8:1:Cloth Scraps||
265|To-Go Box|21|21|0|0||1141:4:1:Cardboard Box||
266|Some Assembly Required|21|18|0|0||1142:1:1:Puzzle Complete||
267|Teleporter Report|21|19|0|0||1143:1:1:Teleporter Info||
268|Find the Key!  (Part One)|21|22|0|0||1144:1:1:Cyclops Door Key||
269|Find the Key!  (Part Two)|21|23|0|0||1145:6:1:Imp Door Key||
270|Find the Key!  (Part Three)|21|24|0|0||1146:1:1:Gargoyle Door Key||
271|The Lake Hydra|21|25|2500|10000|O|1147:1:1:Rune Shard Alepha,1158:1:1:Rune Shard Betalin,1159:1:1:Rune Shard Gamilo||
272|Escherion|21|26|2500|15000|O|1178:1:1:Defeated Escherion||
273|Defender|-1|0|5|50||1024:5:1:Defender's Medal||
274|Mega Defender|-1|0|5|100||1026:1:1:Mega Defender's Medal||
275|Savage Warlord Armor|-1|0|0|0|U|1204:1:1:Boss Prize|1191:1:0:Savage Warlord Armor|
276|Horc Hacker|-1|0|0|0||1190:1:1:Defender Prize|1192:1:0:Horc Hacker|
277|Curve Bladed Polearm|-1|0|0|0||1190:1:1:Defender Prize|1193:1:0:Curve Bladed Polearm|
278|Infantry Pole Axe|-1|0|0|0||1190:1:1:Defender Prize|1195:1:0:Infantry Pole Axe|
279|Massive Horc Cleaver|-1|0|0|0||1204:1:1:Boss Prize|1196:1:0:Massive Horc Cleaver|
280|Infantry Blade|-1|0|0|0||1190:1:1:Defender Prize|1197:1:0:Infantry Blade|
281|Horc Mangler|-1|0|0|0|U|1190:1:1:Defender Prize|1198:1:0:Horc Mangler|
282|Horc Claw|-1|0|0|0||1190:1:1:Defender Prize|1199:1:0:Horc Claw|
283|Steel Chopper|-1|0|0|0||1190:1:1:Defender Prize|1200:1:0:Steel Chopper|
284|Pactagonal Armet|-1|0|0|0||1190:1:1:Defender Prize|1201:1:0:Pactagonal Armet|
285|Cyclops Warlord Helm|-1|0|0|0|U|1204:1:1:Boss Prize|1205:1:0:Cyclops Warlord Helm|
286|Red Eye Staff|-1|0|0|0||1190:1:1:Defender Prize|1212:1:0:Red Eye Staff|
287|Yellow Eye Staff|-1|0|0|0||1190:1:1:Defender Prize|1213:1:0:Yellow Eye Staff|
288|Horc Club|-1|0|0|0||1204:1:1:Boss Prize|1214:1:0:Horc Club|
289|Undead Infantry Guard|-1|0|0|0||1204:1:1:Boss Prize|1210:1:0:Undead Infantry Helm|
290|Undead Infantry Armor|-1|0|0|0|U|1204:1:1:Boss Prize|1209:1:0:Undead Infantry Armor|
291|Defender's Winged Armet|-1|0|0|0|U|1190:1:1:Defender Prize|1207:1:0:Defender's Winged Armet|
292|Pactagonal Defender's Crested Armet|-1|0|0|0||1190:1:1:Defender Prize|1206:1:0:Pactagonal Defender's Crested Armet|
293|Undead Trooper Guard|-1|0|0|0||1190:1:1:Defender Prize|1208:1:0:Undead Trooper Guard|
294|Infantry Helm|-1|0|0|0||1190:1:1:Defender Prize|1216:1:0:Undead Helm|
297|Save Chuckles!|23|1|1|1|O|17968:1:1:Find Chuckles||1237:0:0:Silent Chuckles Skull
298|Skull Key|-1|0|0|0||1281:1:1:Skull Key||
299|Flux Collection|-1|0|25|25||1428:5:1:Flux||
300|Mega Flux Collection|-1|0|30|30||1429:1:1:Mega Flux||
301|warm MILK!|-1|0|0|0||1548:4:1:Milk Bottle,15199:1:1:Mosquito Juice|1581:1:0:Forest Axe|
302|COLD MEDICINE!|-1|0|50|30||1549:5:1:Cold Medicine|1582:1:0:Grip Blade|
303|Cup of Tea, please!|-1|0|60|35||1550:5:1:Pouch of Tea|1584:1:0:Fierced Grip Blade|
304|Music Box for the Sleepless|-1|0|75|40||1551:1:1:Music Box||
305|Wolves For Hire|-1|0|50|30||1552:6:1:Contract||
306|Blue Green Prints|-1|0|60|40||1554:1:1:Blue Print||
307|Brick Head|-1|0|100|50||1555:3:1:Case of Bricks||
308|Vicious Wolves|-1|0|100|50||1557:6:1:Wolf Pelts||
309|Slimes to the West, Slimes Everywhere|-1|0|100|50||1558:6:1:Jars of Ooze||
310|Scaly Menace|-1|0|100|50||1559:6:1:Zard's Teeth||
311|Overgrown Spiders|-1|0|100|50||1561:6:1:Spider Fangs||
312|Dragon Might|-1|0|250|75|U|1562:1:1:Dragon's Horn|1586:1:0:Red Riding Cape|
313|Strange Gel|-1|0|250|75|U|1563:1:1:Slimy Remains||
314|Terrifying Reptile|-1|0|250|75|U|1564:1:1:Basilisk's tail||
315|The beast with Many Eyes!|-1|0|250|75|U|1566:1:1:Deathgazer Eye|1585:1:0:Red Hunting Hood|
316|Landing Swords!|-1|0|0|0||1567:7:1:Juggling Swords,8703:1:1:Tiny Sword|1532:1:0:Sword in the Stone|
317|Free the sword!|-1|0|0|0|U|1567:7:1:Juggling Swords,8703:1:1:Tiny Sword|1531:1:0:Sword out of the Stone|
318|Hardly Suiting Armor|-1|0|0|0||1577:1:1:Black Knight Leg Piece,1578:1:1:Black Knight Chest Piece,1579:1:1:Black Knight Shoulder Piece,1580:1:1:Black Knight Arm Piece|1576:1:0:Black Knight Orb|
319|Seven Sisters|22|1|0|0||1592:7:1:Sister's Blessing||
320|Warm and Furry|22|2|250|750||1593:5:1:Bear Skin||
321|Shell Shock|22|3|250|750||1594:5:1:Red Turtle Shell||
322|Bear Facts|22|4|250|1000||1595:1:1:Chaorrupted Skin||
323|Give Snowbeard His Gold|22|9|100|100||1596:1:1:Snowbeard's Gold||
324|The Spittoon Saloon|22|5|250|750||1597:6:1:Red Shell Spittoon||
325|Bear it all!|22|6|250|750||15952:6:1:Bear Teeth||
326|Leather Feathers|22|7|250|750||1599:8:1:Leatherwing Feathers||
327|Follow your Nose!|22|8|500|250||1600:1:1:Pine Air Freshener|1596:1:1:Snowbeard's Gold|
328|Alarm a Llama!|-1|0|100|50||8704:1:1:Llama Leash,1601:5:1:Alarmed Llamas||
329|Grizzly Situation|-1|0|100|50||1602:6:1:Bear Claws||
330|Berry Interesting|-1|0|200|100|U|1619:8:1:Berry Pouch||
331|Squeeze Water from Stone|22|11|250|750||1627:3:1:Water Stones||
332|Carrion Carrying On|22|12|250|750||1628:6:1:Vultragon Beak||
333|Bagged Lunches|22|13|250|750||1629:8:1:Food Pouch||
334|Radiant Lamps|22|14|250|750||1630:3:1:Vials of Glow Ichor||
335|Having a Blast|22|15|250|750||1631:8:1:Piles of Bat Guano||
336|Secret Weapons|22|16|250|750||1632:8:1:Draconian Weapon||
337|Rock Star|22|17|0|0||1633:7:1:Limestones||
338|All that glitters...|22|18|250|750||1634:5:1:Gold Deposits||
339|Gemeralds|22|19|250|750||1635:6:1:Chaos Gemeralds||
340|Talc to Me|22|20|250|750||1636:1:1:Block of Talc|1641:1:1:Upper City Key|
341|Rock Me Amadeus|22|22|250|1000||1637:1:1:Key Mold||
342|What’s Mine is Yours|-1|0|20000|20000||8705:1:1:Chaotic Draconian Scale,1626:1:1:Bag of Gems||
343|Upper City Gates|22|21|0|0||1641:1:1:Upper City Key||
344|Bad Memory|22|10|500|3000|O|1646:1:1:Memory Stone||
345|Balance the Scales|-1|0|200|150||1647:6:1:Draconian Scales||
346|Disapoofed|22|23|0|0||1648:1:1:Vath's Plans||
347|Hoodwinked|22|24|250|750||1649:6:1:Assassin Hoods||
348|Claws For The Cause|22|25|250|750||1650:3:1:Draconian Claws||
349|Scrambled Eggs|22|26|250|750||1651:12:1:Cracked Egg||
350|The King's Wings|22|27|250|1000||1652:1:1:Terradactyl Wings||
351|Bugging Out|22|28|250|750||1654:3:1:Beetle Glands||
352|Lizard Gizzard|22|29|250|1000||1655:1:1:Lizard Gizzard||
353|Mock the Lock|22|30|250|750||1696:3:1:Rusted Claw,1697:1:1:Magnesium Flare,1695:4:1:Balboa Core|1698:1:1:Thermite|
354|Like Butter|22|31|0|0||1698:1:1:Thermite||
355|Jailhouse Rock|22|32|250|1500||1699:1:1:Elfis' Keyring||
